StatLevel/internal05,Greater Yang
StatLevel/internal04,Lesser Yang
StatLevel/internal03,Harmony
StatLevel/internal02,Lesser Yin
StatLevel/internal01,Greater Yin
StatLevel/mental03,Happiness
StatLevel/mental02,Calm
StatLevel/mental01,Melancholy
StatLevel/training05,Gentleman
StatLevel/training04,Calmness
StatLevel/training03,Moderate
StatLevel/training02,Irritable
StatLevel/training01,Crazy
StatLevel/behaviour05,Rude
StatLevel/behaviour04,Bold
StatLevel/behaviour03,Moderate
StatLevel/behaviour02,Courteous
StatLevel/behaviour01,Pretentiousness
StatLevel/disposition05,Brute
StatLevel/disposition04,Brave
StatLevel/disposition03,Moderate
StatLevel/disposition02,Cautious
StatLevel/disposition01,Coward
StatLevel/karma05,Heroic
StatLevel/karma04,Good person
StatLevel/karma03,Moderate
StatLevel/karma02,Bad Person
StatLevel/karma01,Villain
PlayerStatDesc/paralysis-value,Hidden Weapon hit paralysis accumulation value
PlayerStatDesc/poison-value,Hidden Weapon hits accumulate Poison value
PlayerStatDesc/combat-weapon-dice,Burst: Affects dice for Hidden Weapons
PlayerStatDesc/combat-weapon,Hidden Weapon: Power of Hidden Weapon
PlayerStatDesc/combat-attack-dice,Burst: Affects attack dice
PlayerStatDesc/combat-ultimate,Ultimate: Power of Ultimate Move
PlayerStatDesc/combat-defence,"Defense: Damage reduction rate, block rate"
PlayerStatDesc/combat-attack,Attack: Base damage
PlayerStatDesc/martial-point,Martial Arts Points. [Use of Training Manual]
PlayerStatDesc/assets,Assets of the sect
PlayerStatDesc/team,Cohesion of the sect
PlayerStatDesc/fame,Reputation of the sect
PlayerStatDesc/people,Number of disciples in the sect
PlayerStatDesc/poison,Alchemy Points. [Used in Alchemy Room]
PlayerStatDesc/weapon,Forging Points. [Used in Forge]
PlayerStatDesc/mental,"Affects success rate of forging, alchemy, and cultivation activities."
PlayerStatDesc/charisma,Something you do not have
PlayerStatDesc/literacy,Knowledge gained from learning
PlayerStatDesc/talking,Speaking talent affects mouth attack effectiveness
PlayerStatDesc/paralysis-resistance,Affects resistance to poison and metabolic rate
PlayerStatDesc/poison-resistance,Affects resistance to blood poison and metabolic rate.
PlayerStatDesc/m-projectile,Affects the power of hidden weapons and critical hits.
PlayerStatDesc/m-fist,"Affects attack power (small), affects defense (large)"
PlayerStatDesc/m-sword,Significantly affects attack power
PlayerStatDesc/dexterity,"Affects evasion probability, ultimate skill power (medium), and battle movement speed."
PlayerStatDesc/stamina,"Influence Attack Power (Medium), Ultimate Skill Power (Medium), Battle Recovery Speed."
PlayerStatDesc/life,"Affects health, ultimate move power (small)"
PlayerStat/combat-weapon-dice,Hidden Weapon Burst
PlayerStat/combat-weapon,Power of Hidden Weapons
PlayerStat/combat-attack-dice,Burst
PlayerStat/combat-ultimate,Ultimate
PlayerStat/combat-defence,Defense
PlayerStat/combat-attack,Attack
PlayerStat/lover,Beloved
PlayerStat/battle-people,Number of disciples
PlayerStat/default-battle-hp,Disciple's health points
PlayerStat/relationship,Affinity
PlayerStat/xingyi,Xingyi Fist
PlayerStat/buddhism,Buddhism
PlayerStat/taoism,Daoism
PlayerStat/confucianism,Confucianism
PlayerStat/paralysis-value,Paralysis
PlayerStat/poison-value,Poison
PlayerStat/m-internal,Neigong
PlayerStat/m-stick,Spear Staff
PlayerStat/m-soft,Soft weapons
PlayerStat/m-odd,Qimen
PlayerStat/m-leg,Leg Techniques
PlayerStat/m-fist,Fist and palm
PlayerStat/m-projectile,Hidden Weapon
PlayerStat/m-sword,Blade and sword
PlayerStat/assets,Sect Assets
PlayerStat/martial-point,Martial Arts
PlayerStat/paralysis-resistance,Resist Paralysis
PlayerStat/poison-resistance,Resist Poison
PlayerStat/action2,Action
PlayerStat/action,Action Count
PlayerStat/change-heart,Change of heart
